model,fold,inner_best_roc_auc,model__C,model__class_weight,model__l1_ratio
tuned_logistic_elastic_net,1,0.8007236331052942,1.0,balanced,0.1
tuned_logistic_elastic_net,2,0.8029393034394813,0.1,balanced,0.1
tuned_logistic_elastic_net,3,0.801681503418617,10.0,balanced,0.5
tuned_logistic_elastic_net,4,0.803655979726643,0.1,balanced,0.7
tuned_logistic_elastic_net,5,0.8034608408880487,0.1,balanced,0.9
tuned_logistic_lasso,1,0.8007730220003793,1.0,balanced,
tuned_logistic_lasso,2,0.8030016474208056,1.0,balanced,
tuned_logistic_lasso,3,0.8017126562752264,1.0,balanced,
tuned_logistic_lasso,4,0.8036809020766257,0.1,balanced,
tuned_logistic_lasso,5,0.8035013409066386,1.0,balanced,
tuned_logistic_ridge,1,0.8007770755283455,10.0,balanced,
tuned_logistic_ridge,2,0.8029973239513123,0.1,balanced,
tuned_logistic_ridge,3,0.8017077306045026,0.1,balanced,
tuned_logistic_ridge,4,0.8036514129814692,100.0,balanced,
tuned_logistic_ridge,5,0.8035008353621631,0.1,balanced,
