model,roc_auc,pr_auc,brier_score,fold,inner_best_roc_auc
tuned_logistic_elastic_net,0.809949273138193,0.39487827741652,0.17448049098932428,1,0.8007236331052942
tuned_logistic_elastic_net,0.8002459667432464,0.3908401708741689,0.17201289148276985,2,0.8029393034394813
tuned_logistic_elastic_net,0.8069231354683152,0.38846775319344495,0.1703210996585771,3,0.801681503418617
tuned_logistic_elastic_net,0.7954511269841437,0.38590793390622125,0.17378908914697308,4,0.803655979726643
tuned_logistic_elastic_net,0.7997701073536946,0.3813502815806289,0.17568894328150186,5,0.8034608408880487
tuned_logistic_lasso,0.8101892010592956,0.39539177888082183,0.17428409646185666,1,0.8007730220003793
tuned_logistic_lasso,0.8002908989055069,0.3908219437556419,0.1720111811480954,2,0.8030016474208056
tuned_logistic_lasso,0.8069449024367441,0.3886733700513877,0.17034222843563165,3,0.8017126562752264
tuned_logistic_lasso,0.7955631050804269,0.38602856338841907,0.17379682951255768,4,0.8036809020766257
tuned_logistic_lasso,0.7996167346690748,0.3808114117581928,0.175602155543613,5,0.8035013409066386
tuned_logistic_ridge,0.8101899568568105,0.39542943821584225,0.17423894145833274,1,0.8007770755283455
tuned_logistic_ridge,0.8002554142121827,0.3908246175999748,0.17197476481029125,2,0.8029973239513123
tuned_logistic_ridge,0.8069360596058198,0.3886705098871359,0.17031396377358732,3,0.8017077306045026
tuned_logistic_ridge,0.7954721016191211,0.3858886856844903,0.17371857107157573,4,0.8036514129814692
tuned_logistic_ridge,0.7996194194473313,0.3809022104116613,0.17559816234384962,5,0.8035008353621631
