risk_decile,model,n,mean_predicted_risk,observed_mortality,min_predicted_risk,max_predicted_risk
0,logistic_elastic_net,9155,0.018488839170613097,0.0013107591480065537,0.0007872208879615,0.0314997208711448
1,logistic_elastic_net,9154,0.044165633860991385,0.002840288398514311,0.031500265648997,0.0573682549567046
2,logistic_elastic_net,9154,0.07245321072931334,0.006554511688879178,0.0573692130813405,0.0890738917945687
3,logistic_elastic_net,9154,0.10943433557258019,0.00895783264146821,0.089082353580566,0.131690176294983
4,logistic_elastic_net,9155,0.1592502214677187,0.018350628072091753,0.1316915807165454,0.1894330961811754
5,logistic_elastic_net,9154,0.228068799400475,0.029386060738474985,0.1894346059959469,0.2720522039336921
6,logistic_elastic_net,9154,0.3260545854566881,0.05243609351103343,0.2720535314248716,0.3862139204204131
7,logistic_elastic_net,9154,0.4630046271377963,0.08313305658728425,0.3862318065234738,0.5497264576983235
8,logistic_elastic_net,9154,0.657681048230902,0.17664409001529385,0.5497317894372035,0.7751729838875596
9,logistic_elastic_net,9155,0.8998380448658474,0.4843255051884216,0.775193635532657,0.9999921300859992
0,random_forest,9155,0.01671083223753783,0.0006553795740032769,0.0,0.0289250711267017
1,random_forest,9154,0.040557748379139814,0.004151190736290146,0.0289260915390874,0.0526701056964469
2,random_forest,9154,0.06566922994808809,0.007537688442211055,0.0526708922173646,0.079275975520375
3,random_forest,9154,0.09511285161671308,0.00928555822591217,0.0792775139768125,0.1121281183262598
4,random_forest,9155,0.1310526913072094,0.021190606226105954,0.1121317362705937,0.1516725243819617
5,random_forest,9154,0.17603803199510337,0.03146165610662006,0.1516726052141446,0.2025264023804254
6,random_forest,9154,0.23350827778360803,0.05265457723399607,0.2025299617472543,0.2673657714145878
7,random_forest,9154,0.30964939303357286,0.09296482412060302,0.2673713845443061,0.3568890637366855
8,random_forest,9154,0.4188651581861927,0.17642560629233123,0.3568918787643868,0.4955192419907774
9,random_forest,9155,0.6503637334822987,0.46761332605133804,0.4955310315042295,0.9682756389473892
0,gradient_boosted_trees,9155,0.057352076718089846,0.001529219006007646,0.02472689220329,0.0739997984513779
1,gradient_boosted_trees,9154,0.0906891673402888,0.003386497705920909,0.074003492902773,0.1071885860872109
2,gradient_boosted_trees,9154,0.12476181654169605,0.0061175442429539,0.1071890606227168,0.1433882067183101
3,gradient_boosted_trees,9154,0.16419798002405273,0.011142669871094604,0.1433883338113065,0.1872170310323286
4,gradient_boosted_trees,9155,0.21452794075640164,0.0184598580010923,0.187221747222297,0.2445306643322948
5,gradient_boosted_trees,9154,0.2808186659009153,0.03069696307625082,0.244551506540454,0.3204266893540416
6,gradient_boosted_trees,9154,0.3681322841782749,0.05178064234214551,0.3204324664267183,0.4206256747404474
7,gradient_boosted_trees,9154,0.48166555977182085,0.08706576360061176,0.4206376798230509,0.5483590023060656
8,gradient_boosted_trees,9154,0.6269629984124231,0.1757701551234433,0.5483718630075021,0.7152723029704603
9,gradient_boosted_trees,9155,0.834048240620424,0.47799016930638993,0.7153104920862812,0.9932322193416002
