model,threshold,accuracy,sensitivity_recall,specificity,precision,f1,tn,fp,fn,tp,flagged_high_risk,flagged_high_risk_percent
logistic_elastic_net,0.05,0.2585670122237637,0.9964597294221773,0.1887868570198723,0.10407257745028128,0.1884617683983978,15789,67845,28,7881,75726,82.72178102094098
logistic_elastic_net,0.1,0.4123198933834373,0.985838917688709,0.35808403280962287,0.12681554250768506,0.2247233110445008,29948,53686,112,7797,61483,67.16297259211518
logistic_elastic_net,0.2,0.592672296079438,0.9510684030850929,0.5587799220412751,0.1693267001328141,0.2874722922877016,46733,36901,387,7522,44423,48.52692177446664
logistic_elastic_net,0.3,0.6982183236293327,0.9080794032115311,0.67837243226439,0.21073325313224378,0.3420814479638009,56735,26899,727,7182,34081,37.22949870552637
logistic_elastic_net,0.5,0.8244322340320942,0.7945378682513592,0.8272592486309396,0.3031209300082003,0.4388268156424581,69187,14447,1625,6284,20731,22.646188130168337
random_forest,0.05,0.2749309067869744,0.9953217853078771,0.2068058445129971,0.10607734806629834,0.1917217696270047,17296,66338,37,7872,74210,81.0657286739565
random_forest,0.1,0.44818282118785707,0.9791376912378303,0.3979721166032953,0.1333012015010156,0.23465600048482646,33284,50350,165,7744,58094,63.46088723332205
random_forest,0.2,0.6676862239603246,0.9155392590719433,0.6442475548222015,0.19573444342325783,0.32251742645257553,53881,29753,668,7241,36994,40.41160984455392
random_forest,0.3,0.795746261319817,0.8166645593627513,0.7937680847502212,0.27245117475851016,0.40859058704453444,66386,17248,1450,6459,23707,25.89711938651781
random_forest,0.5,0.9082179959144883,0.5335693513718548,0.9436473204677523,0.47240568677935746,0.5011281320508253,78921,4713,3689,4220,8933,9.758255683121593
gradient_boosted_trees,0.05,0.11147766623335481,0.9998735617650778,0.02746490661692613,0.08861000616281024,0.16279309138069456,2297,81337,1,7908,89245,97.48970429197207
gradient_boosted_trees,0.1,0.2631768677015173,0.9953217853078771,0.1939402635291867,0.10456127301224663,0.18924214195564637,16220,67414,37,7872,75286,82.24113258250222
gradient_boosted_trees,0.2,0.5055219951279727,0.9697812618535845,0.4616184805222756,0.14554908249046436,0.2531102531102531,38607,45027,239,7670,52697,57.56529718274472
gradient_boosted_trees,0.3,0.6495745168937003,0.9278037678594007,0.6232632661357821,0.18889975801884365,0.31389156239974336,52126,31508,571,7338,38846,42.43470281725528
gradient_boosted_trees,0.5,0.8164687633134156,0.7963080035402705,0.8183753019107062,0.2930938198064036,0.4284790965064462,68444,15190,1611,6298,21488,23.47312192084594
